id,slug,display_name,category,subcategory,priority,status,entity_type,fsm_states,required_kyc_tier,requires_frsc,requires_cac,requires_it,requires_community,requires_social,package_name,milestone_target,notes
vtx_construction,construction,Construction Firm / Contractor,commerce,construction,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-construction,M9,Project management; materials; milestone billing
vtx_real_estate_agency,real-estate-agency,Real Estate Agency,commerce,real-estate,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-real-estate-agency,M9,Property listings; landlord/tenant management
vtx_property_developer,property-developer,Property Developer,commerce,real-estate,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",3,0,1,0,0,0,packages/verticals-property-developer,M9,Development projects; off-plan sales; subscriber management
vtx_cleaning_service,cleaning-service,Cleaning Service,commerce,facility-services,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-cleaning-service,M9,Booking; recurring contracts; staff management
vtx_print_shop,print-shop,Printing & Branding Shop,commerce,print-media,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-print-shop,M9,Order management; artwork upload; delivery
vtx_electronics_repair,electronics-repair,Electronics Repair Shop,commerce,repair-services,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-electronics-repair,M9,Job tickets; parts inventory; warranty tracking
vtx_food_vendor,food-vendor,Food Vendor / Street Food,commerce,food-micro,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-food-vendor,M9,Daily menu; location broadcast; WhatsApp orders
vtx_catering,catering,Catering Service,commerce,food-service,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-catering,M9,Event catering quotes; menu builder; logistics
vtx_bakery,bakery,Bakery / Confectionery,commerce,food-production,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-bakery,M9,Product catalog; pre-orders; delivery scheduling
vtx_farm,farm,Farm / Agricultural Producer,agricultural,production,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-farm,M10,Harvest calendar; buyer marketplace; input management
vtx_agro_input,agro-input,Agro-Input Dealer,agricultural,inputs,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-agro-input,M10,Fertilizer/seed stock; farmer credit; seasonal demand
vtx_cold_room,cold-room,Cold Room / Storage Facility,agricultural,post-harvest,2,planned,place,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-cold-room,M10,Slot booking; temperature monitoring; produce tracking
vtx_logistics_delivery,logistics-delivery,Logistics & Delivery (Last-Mile),transport,last-mile,2,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""active""]",1,1,1,0,0,0,packages/verticals-logistics-delivery,M9,Parcel tracking; rider network; COD management
vtx_dispatch_rider,dispatch-rider,Dispatch Rider Network,transport,last-mile,2,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""active""]",1,1,0,0,0,0,packages/verticals-dispatch-rider,M9,Rider onboarding; job assignment; earnings tracking
vtx_courier,courier,Courier Service,transport,courier,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",1,1,1,0,0,0,packages/verticals-courier,M9,Waybill management; package tracking; interstate routes
vtx_warehouse,warehouse,Warehouse Operator,place,logistics,2,planned,place,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-warehouse,M10,Inventory slots; client billing; receiving/dispatch logs
vtx_clearing_agent,clearing-agent,Clearing & Forwarding Agent,transport,trade-logistics,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",3,0,1,0,0,0,packages/verticals-clearing-agent,M10,SON/NAFDAC/customs documentation; port tracking
vtx_savings_group,savings-group,Thrift / Ajo / Esusu Group,financial,informal-finance,2,planned,organization,"[""seeded"",""claimed"",""members_enrolled"",""active""]",2,0,0,0,1,0,packages/verticals-savings-group,M9,Contribution cycles; payout calendar; member ledger
vtx_insurance_agent,insurance-agent,Insurance Agent / Broker,financial,insurance,2,planned,individual,"[""seeded"",""claimed"",""naicom_verified"",""active""]",2,0,0,0,0,0,packages/verticals-insurance-agent,M10,Policy management; claims filing; renewal reminders
vtx_travel_agent,travel-agent,Travel Agent / Tour Operator,commerce,travel,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-travel-agent,M10,Flight/hotel booking; tour packages; group travel
vtx_photography,photography,Photography / Videography Studio,creator,visual-media,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-photography-studio,M9,Portfolio; booking; digital product delivery
vtx_music_studio,music-studio,Music Studio / Recording Artist,creator,audio,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-music-studio,M9,Studio booking; artist profile; release management
vtx_fashion_brand,fashion-brand,Fashion Brand / Clothing Label,creator,fashion,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-fashion-brand,M9,Product catalog; lookbook; wholesale ordering
vtx_furniture_maker,furniture-maker,Furniture Maker / Wood Workshop,commerce,manufacturing,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-furniture-maker,M10,Order management; custom design quotes; delivery
vtx_welding_fab,welding-fabrication,Welding / Fabrication Shop,commerce,manufacturing,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-welding-fabrication,M10,Job orders; material sourcing; client management
vtx_handyman,handyman,Plumber / Electrician / Handyman,professional,trades,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-handyman,M9,Job requests; area coverage; ratings; payment
vtx_generator_repair,generator-repair,Generator Repair / HVAC Technician,professional,technical-services,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-generator-repair,M10,Service visits; parts inventory; maintenance schedules
vtx_it_support,it-support,IT Support / Computer Repair,professional,technology,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-it-support,M9,Ticket management; remote support; SLA contracts
vtx_bookshop,bookshop,Bookshop / Stationery Store,commerce,retail,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-bookshop,M10,Catalog; school supply seasons; online orders
vtx_training_institute,training-institute,Training Institute / Vocational School,education,vocational,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",1,0,1,0,1,0,packages/verticals-training-institute,M9,Course catalog; enrollment; certificates
vtx_driving_school,driving-school,Driving School,education,transport-training,2,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""active""]",1,1,1,0,0,0,packages/verticals-driving-school,M9,Student scheduling; FRSC test prep; license tracking
vtx_sports_academy,sports-academy,Sports Academy / Fitness Centre,health,sports,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,1,0,packages/verticals-sports-academy,M10,Membership; class scheduling; coach profiles
vtx_gym,gym,Gym / Wellness Centre,health,fitness,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-gym,M10,Membership plans; class booking; equipment management
vtx_spa,spa,Spa / Massage Parlour,commerce,personal-care,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-spa,M10,Treatment menu; appointment booking; gift vouchers
vtx_optician,optician,Optician / Eye Clinic,health,specialist-care,2,planned,organization,"[""seeded"",""claimed"",""license_verified"",""active""]",2,0,1,0,0,0,packages/verticals-optician,M10,Eye test booking; prescription management; frame catalog
vtx_dental_clinic,dental-clinic,Dental Clinic / Orthodontist,health,specialist-care,2,planned,organization,"[""seeded"",""claimed"",""license_verified"",""active""]",2,0,1,0,0,0,packages/verticals-dental-clinic,M10,Appointment booking; treatment plans; x-ray records
vtx_vet_clinic,vet-clinic,Veterinary Clinic / Pet Shop,health,veterinary,2,planned,organization,"[""seeded"",""claimed"",""license_verified"",""active""]",2,0,1,0,0,0,packages/verticals-vet-clinic,M10,Pet records; appointment scheduling; vaccine reminders
vtx_florist,florist,Florist / Garden Centre,commerce,retail,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-florist,M10,Occasion-based catalog; delivery; subscription flowers
vtx_wholesale_market,wholesale-market,Wholesale Market (Onitsha/Alaba/Ladipo),place,wholesale,2,planned,place,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-wholesale-market,M9,Multi-vendor; bulk order management; price discovery
vtx_gas_distributor,gas-distributor,Gas / LPG Distributor,commerce,energy,2,planned,organization,"[""seeded"",""claimed"",""dpra_verified"",""active""]",2,0,1,0,0,0,packages/verticals-gas-distributor,M9,Cylinder tracking; delivery routes; dealer network
vtx_water_treatment,water-treatment,Water Treatment / Borehole Operator,place,utilities,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-water-treatment,M10,Supply zones; billing; quality certificates
vtx_waste_management,waste-management,Waste Management / Recycler,civic,environment,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-waste-management,M10,Pickup schedules; route management; recycling tonnage
vtx_solar_installer,solar-installer,Solar / Renewable Energy Installer,commerce,energy,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-solar-installer,M10,Site assessment; installation tracking; warranty management
vtx_advertising_agency,advertising-agency,Advertising Agency,media,marketing,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-advertising-agency,M10,Campaign management; media buying; creative portfolio
vtx_mosque,mosque,Mosque / Islamic Centre,civic,religious,3,planned,organization,"[""seeded"",""claimed"",""community_active"",""active""]",1,0,0,1,1,0,packages/verticals-mosque,M8d,Juma'ah scheduling; zakat management; community platform
vtx_youth_org,youth-organization,Youth Organization / Student Union,civic,youth,3,planned,organization,"[""seeded"",""claimed"",""it_verified"",""active""]",1,0,0,1,1,1,packages/verticals-youth-organization,M8d,Membership; elections; event coordination
vtx_womens_assoc,womens-association,Women's Association / Forum,civic,gender,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,1,0,packages/verticals-womens-association,M8d,Membership; programs; savings groups
vtx_professional_assoc,professional-association,Professional Association (NBA/NMA/ICAN),civic,professional-body,3,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,1,0,packages/verticals-professional-association,M9,Member directory; CPD management; dues collection
vtx_campaign_office,campaign-office,Political Campaign Office,politics,campaign,3,planned,organization,"[""seeded"",""claimed"",""active""]",2,0,0,0,1,1,packages/verticals-campaign-office,M8b,Volunteer coordination; donor management; ward coverage
vtx_govt_agency,government-agency,Government Agency / Parastatal,institutional,government,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-government-agency,M11,Public service directory; complaint management
vtx_lga_office,lga-office,Local Government Council / Ward Office,politics,local-govt,3,planned,place,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-lga-office,M8b,Ward service directory; official contacts; public notices
vtx_nurtw,road-transport-union,Road Transport Workers Union (NURTW),transport,union,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,1,0,packages/verticals-road-transport-union,M8c,Member management; levy collection; route assignments
vtx_okada_keke,okada-keke,Okada / Keke Rider Co-op,transport,micro-transport,3,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""active""]",1,1,0,0,0,0,packages/verticals-okada-keke,M8c,Rider registration; earnings tracking; safety compliance
vtx_ferry,ferry,Ferry / Water Transport Operator,transport,water-transport,3,planned,organization,"[""seeded"",""claimed"",""nimasa_verified"",""active""]",2,0,1,0,0,0,packages/verticals-ferry,M9,Route management; ticketing; safety manifest
vtx_airport_shuttle,airport-shuttle,Airport Shuttle Service,transport,air-ground,3,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""active""]",1,1,1,0,0,0,packages/verticals-airport-shuttle,M9,Booking; flight tracking; fleet dispatch
vtx_container_depot,container-depot,Container Depot / Logistics Hub,transport,port-logistics,3,planned,place,"[""seeded"",""claimed"",""cac_verified"",""active""]",3,0,1,0,0,0,packages/verticals-container-depot,M10,Container tracking; storage billing; haulier assignments
vtx_airtime_reseller,airtime-reseller,Airtime / VTU Reseller,financial,telco,3,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-airtime-reseller,M9,Balance management; transaction history; agent network
vtx_mobile_money_agent,mobile-money-agent,Mobile Money / POS Agent,financial,payments,3,planned,individual,"[""seeded"",""claimed"",""active""]",2,0,0,0,0,0,packages/verticals-mobile-money-agent,M9,Float management; transaction limits; daily reconciliation
vtx_bureau_de_change,bureau-de-change,Bureau de Change / FX Dealer,financial,forex,3,planned,organization,"[""seeded"",""claimed"",""cbn_licensed"",""active""]",3,0,1,0,0,0,packages/verticals-bureau-de-change,M10,Rate publishing; transaction management; CBN reporting
vtx_used_car_dealer,used-car-dealer,Used Car Dealer / Auto Trader,commerce,automotive,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-used-car-dealer,M10,Vehicle listings; FRSC check integration; negotiation chat
vtx_spare_parts,spare-parts,Spare Parts Dealer (Ladipo/Nnewi),commerce,automotive,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-spare-parts,M10,Parts catalog; compatibility search; bulk ordering
vtx_tyre_shop,tyre-shop,Tyre Shop / Vulcanizer,commerce,automotive,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-tyre-shop,M10,Service booking; stock management; mobile service
vtx_car_wash,car-wash,Car Wash / Detailing,commerce,auto-services,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-car-wash,M10,Queue management; loyalty cards; membership plans
vtx_building_materials,building-materials,Building Materials Supplier,commerce,construction,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-building-materials,M10,Product catalog; delivery; credit accounts
vtx_iron_steel,iron-steel,Iron & Steel / Roofing Merchant,commerce,construction,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-iron-steel,M10,Price lists; cut-to-size orders; delivery tracking
vtx_electrical_fittings,electrical-fittings,Electrical Fittings Dealer,commerce,hardware,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-electrical-fittings,M10,Product catalog; contractor accounts; bulk pricing
vtx_poultry_farm,poultry-farm,Poultry Farm / Aquaculture,agricultural,livestock,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-poultry-farm,M10,Flock management; feed tracking; market sales
vtx_cassava_miller,cassava-miller,Cassava / Maize / Rice Miller,agricultural,processing,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-cassava-miller,M10,Processing orders; farmer supply chain; output sales
vtx_fish_market,fish-market,Fish Market / Fishmonger,agricultural,food-market,3,planned,place,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-fish-market,M10,Daily catch pricing; pre-orders; cold storage integration
vtx_abattoir,abattoir,Abattoir / Meat Processing,agricultural,food-processing,3,planned,place,"[""seeded"",""claimed"",""nafdac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-abattoir,M10,Slaughter scheduling; hygiene certification; meat distribution
vtx_community_radio,community-radio,Community Radio / TV Station,media,broadcast,3,planned,organization,"[""seeded"",""claimed"",""nbc_licensed"",""active""]",2,0,1,0,1,0,packages/verticals-community-radio,M11,Programming schedule; community notices; ad management
vtx_newspaper_dist,newspaper-distribution,Newspaper Distribution Agency,media,print,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-newspaper-dist,M11,Route management; returns tracking; agent network
vtx_tax_consultant,tax-consultant,Tax Consultant / Revenue Agent,professional,financial-services,3,planned,individual,"[""seeded"",""claimed"",""ican_verified"",""active""]",2,0,0,0,0,0,packages/verticals-tax-consultant,M10,Client management; filing calendar; FIRS compliance
vtx_land_surveyor,land-surveyor,Land Surveyor / Registry Agent,professional,real-estate,3,planned,individual,"[""seeded"",""claimed"",""surcon_verified"",""active""]",3,0,0,0,0,0,packages/verticals-land-surveyor,M10,Survey assignments; land documentation; CAD reports
vtx_private_school,private-school,Private School Operator,education,private-school,3,planned,organization,"[""seeded"",""claimed"",""state_verified"",""active""]",1,0,1,0,1,0,packages/verticals-private-school,M9,Student management; fee collection; result management
vtx_tutoring,tutoring,Tutoring / Lesson Teacher,education,private-tutoring,3,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-tutoring,M9,Subject catalog; booking; student progress tracking
vtx_creche,creche,Crèche / Day Care Centre,education,early-childhood,3,planned,organization,"[""seeded"",""claimed"",""state_verified"",""active""]",1,0,1,0,0,0,packages/verticals-creche,M10,Enrollment; daily reports; parent communication
vtx_wedding_planner,wedding-planner,Wedding Planner / Celebrant,professional,events,3,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-wedding-planner,M10,Vendor coordination; timeline management; client portal
vtx_funeral_home,funeral-home,Burial / Funeral Home,professional,memorial,3,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",1,0,1,0,0,0,packages/verticals-funeral-home,M11,Service packages; memorial pages; logistics
vtx_community_hall,community-hall,Community Hall / Town Hall,place,civic-place,3,planned,place,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-community-hall,M11,Booking calendar; event management; community notices
vtx_produce_aggregator,produce-aggregator,Produce Storage / Market Aggregator,agricultural,supply-chain,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-produce-aggregator,M10,Farmer onboarding; produce grading; buyer marketplace
vtx_hire_purchase,hire-purchase,Hire Purchase / Asset Finance,financial,credit,3,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",3,0,1,0,0,0,packages/verticals-hire-purchase,M11,Asset catalog; repayment schedule; default management
vtx_govt_school,govt-school,Government School Management,education,public-school,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-govt-school,M11,Student enrollment; teacher management; performance reporting
vtx_community_health,community-health,Community Health Worker (CHW) Network,health,primary-care,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-community-health,M11,Patient registry; referral management; immunization tracking
vtx_sports_club,sports-club,Sports Club / Amateur League,civic,sports,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,1,1,packages/verticals-sports-club,M10,Team management; fixture scheduling; fan community
vtx_book_club,book-club,Book Club / Reading Circle,civic,education,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,1,0,packages/verticals-book-club,M11,Meeting scheduling; reading list; member discussions
vtx_talent_agency,talent-agency,Talent Agency / Model Agency,creator,representation,3,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,0,1,packages/verticals-talent-agency,M10,Talent roster; casting calls; booking management
vtx_recording_label,recording-label,Record Label / Music Publisher,creator,music,3,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,1,1,packages/verticals-recording-label,M10,Artist roster; release management; royalty tracking
vtx_podcast_studio,podcast-studio,Podcast Studio / Audio Platform,creator,audio,3,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,1,1,packages/verticals-podcast-studio,M10,Episode management; listener analytics; monetization
vtx_rehab_centre,rehab-centre,Rehabilitation / Recovery Centre,health,mental-health,3,planned,organization,"[""seeded"",""claimed"",""health_license"",""active""]",2,0,1,0,0,0,packages/verticals-rehab-centre,M11,Patient intake; treatment programs; family updates
vtx_orphanage,orphanage,Orphanage / Child Care NGO,civic,welfare,3,planned,organization,"[""seeded"",""claimed"",""it_verified"",""active""]",1,0,0,1,0,0,packages/verticals-orphanage,M11,Child records; donor management; welfare programs
vtx_elderly_care,elderly-care,Elderly Care Facility,health,care,3,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",1,0,1,0,0,0,packages/verticals-elderly-care,M11,Resident management; family portal; care plans
